source_partition,path,label
P2,P2/ROI_01_C01_T/rgb.png,1
P2,P2/ROI_01_C02_T/rgb.png,1
P2,P2/ROI_01_C03_T/rgb.png,1
P2,P2/ROI_01_C04_T/rgb.png,1
P2,P2/ROI_01_C05_T/rgb.png,1
P2,P2/ROI_01_C06_T/rgb.png,1
P2,P2/ROI_01_C07_T/rgb.png,1
P2,P2/ROI_01_C08_T/rgb.png,1
P2,P2/ROI_01_C09_T/rgb.png,1
P2,P2/ROI_01_C10_T/rgb.png,1
P2,P2/ROI_01_C11_T/rgb.png,1
P2,P2/ROI_01_C12_T/rgb.png,1
P2,P2/ROI_02_C01_NT/rgb.png,0
P2,P2/ROI_02_C02_NT/rgb.png,0
P2,P2/ROI_02_C03_NT/rgb.png,0
P2,P2/ROI_02_C04_NT/rgb.png,0
P2,P2/ROI_02_C05_NT/rgb.png,0
P2,P2/ROI_02_C06_NT/rgb.png,0
P2,P2/ROI_02_C07_NT/rgb.png,0
P2,P2/ROI_02_C08_NT/rgb.png,0
P2,P2/ROI_02_C09_NT/rgb.png,0
P2,P2/ROI_02_C10_NT/rgb.png,0
P2,P2/ROI_02_C11_NT/rgb.png,0
P2,P2/ROI_02_C12_NT/rgb.png,0
P2,P2/ROI_02_C13_NT/rgb.png,0
P2,P2/ROI_02_C14_NT/rgb.png,0
P2,P2/ROI_02_C15_NT/rgb.png,0
P2,P2/ROI_02_C16_NT/rgb.png,0
P2,P2/ROI_02_C17_NT/rgb.png,0
P2,P2/ROI_03_C01_NT/rgb.png,0
P2,P2/ROI_03_C02_NT/rgb.png,0
P2,P2/ROI_03_C03_NT/rgb.png,0
P2,P2/ROI_03_C04_NT/rgb.png,0
P3,P3/ROI_01_C01_T/rgb.png,1
P3,P3/ROI_01_C02_T/rgb.png,1
P3,P3/ROI_01_C03_T/rgb.png,1
P3,P3/ROI_01_C04_T/rgb.png,1
P3,P3/ROI_01_C05_T/rgb.png,1
P3,P3/ROI_01_C06_T/rgb.png,1
P3,P3/ROI_01_C07_T/rgb.png,1
P3,P3/ROI_01_C08_T/rgb.png,1
P3,P3/ROI_01_C09_T/rgb.png,1
P3,P3/ROI_01_C10_T/rgb.png,1
P3,P3/ROI_01_C11_T/rgb.png,1
P3,P3/ROI_01_C12_T/rgb.png,1
P3,P3/ROI_02_C01_NT/rgb.png,0
P3,P3/ROI_02_C02_NT/rgb.png,0
P3,P3/ROI_02_C03_NT/rgb.png,0
P3,P3/ROI_02_C04_NT/rgb.png,0
P3,P3/ROI_02_C05_NT/rgb.png,0
P3,P3/ROI_02_C06_NT/rgb.png,0
P3,P3/ROI_02_C07_NT/rgb.png,0
P3,P3/ROI_02_C08_NT/rgb.png,0
P3,P3/ROI_02_C09_NT/rgb.png,0
P3,P3/ROI_02_C10_NT/rgb.png,0
P3,P3/ROI_02_C11_NT/rgb.png,0
P3,P3/ROI_02_C12_NT/rgb.png,0
P3,P3/ROI_02_C13_NT/rgb.png,0
P3,P3/ROI_02_C14_NT/rgb.png,0
P3,P3/ROI_02_C15_NT/rgb.png,0
P3,P3/ROI_02_C16_NT/rgb.png,0
P3,P3/ROI_02_C17_NT/rgb.png,0
P3,P3/ROI_02_C18_NT/rgb.png,0
P3,P3/ROI_02_C19_NT/rgb.png,0
P3,P3/ROI_02_C20_NT/rgb.png,0
P3,P3/ROI_02_C21_NT/rgb.png,0
P3,P3/ROI_02_C22_NT/rgb.png,0
P3,P3/ROI_02_C23_NT/rgb.png,0
P3,P3/ROI_02_C24_NT/rgb.png,0
P3,P3/ROI_02_C25_NT/rgb.png,0
P3,P3/ROI_02_C26_NT/rgb.png,0
P3,P3/ROI_02_C27_NT/rgb.png,0
P3,P3/ROI_02_C28_NT/rgb.png,0
P3,P3/ROI_02_C29_NT/rgb.png,0
P4,P4/ROI_01_C01_T/rgb.png,1
P4,P4/ROI_01_C02_T/rgb.png,1
P4,P4/ROI_01_C03_T/rgb.png,1
P4,P4/ROI_01_C04_T/rgb.png,1
P4,P4/ROI_01_C05_T/rgb.png,1
P4,P4/ROI_01_C06_T/rgb.png,1
P4,P4/ROI_01_C07_T/rgb.png,1
P4,P4/ROI_01_C08_T/rgb.png,1
P4,P4/ROI_01_C09_T/rgb.png,1
P4,P4/ROI_01_C10_T/rgb.png,1
P4,P4/ROI_01_C11_T/rgb.png,1
P4,P4/ROI_01_C12_T/rgb.png,1
P4,P4/ROI_02_C01_NT/rgb.png,0
P4,P4/ROI_02_C02_NT/rgb.png,0
P4,P4/ROI_02_C03_NT/rgb.png,0
P4,P4/ROI_02_C04_NT/rgb.png,0
P4,P4/ROI_02_C05_NT/rgb.png,0
P4,P4/ROI_02_C06_NT/rgb.png,0
P4,P4/ROI_02_C07_NT/rgb.png,0
P4,P4/ROI_02_C08_NT/rgb.png,0
P4,P4/ROI_02_C09_NT/rgb.png,0
P4,P4/ROI_02_C10_NT/rgb.png,0
P4,P4/ROI_02_C11_NT/rgb.png,0
P4,P4/ROI_02_C12_NT/rgb.png,0
P4,P4/ROI_02_C13_NT/rgb.png,0
P4,P4/ROI_02_C14_NT/rgb.png,0
P4,P4/ROI_02_C15_NT/rgb.png,0
P4,P4/ROI_02_C16_NT/rgb.png,0
P4,P4/ROI_02_C17_NT/rgb.png,0
P4,P4/ROI_02_C18_NT/rgb.png,0
P4,P4/ROI_02_C19_NT/rgb.png,0
P4,P4/ROI_02_C20_NT/rgb.png,0
P4,P4/ROI_02_C21_NT/rgb.png,0
P4,P4/ROI_02_C22_NT/rgb.png,0
P4,P4/ROI_02_C23_NT/rgb.png,0
P4,P4/ROI_02_C24_NT/rgb.png,0
P4,P4/ROI_02_C25_NT/rgb.png,0
P4,P4/ROI_02_C26_NT/rgb.png,0
P4,P4/ROI_02_C27_NT/rgb.png,0
P4,P4/ROI_02_C28_NT/rgb.png,0
P4,P4/ROI_02_C29_NT/rgb.png,0
P4,P4/ROI_02_C30_NT/rgb.png,0
P4,P4/ROI_02_C31_NT/rgb.png,0
P4,P4/ROI_02_C32_NT/rgb.png,0
P4,P4/ROI_02_C33_NT/rgb.png,0
P4,P4/ROI_02_C34_NT/rgb.png,0
P4,P4/ROI_02_C35_NT/rgb.png,0
P4,P4/ROI_02_C36_NT/rgb.png,0
P4,P4/ROI_02_C37_NT/rgb.png,0
P4,P4/ROI_02_C38_NT/rgb.png,0
P4,P4/ROI_02_C39_NT/rgb.png,0
P4,P4/ROI_02_C40_NT/rgb.png,0
P5,P5/ROI_01_C01_T/rgb.png,1
P5,P5/ROI_01_C02_T/rgb.png,1
P5,P5/ROI_01_C03_T/rgb.png,1
